Position-x,Position-y,Velocity-x,Velocity-y
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
134,1264,-1,-1
171,1227,372.8073182918861,372.8073182918861
192,1187,230.0163319240281,438.1263465219583
209,1165,283.33135182388935,366.66410236032743
228,1159,318.64474441814343,100.62465613204529
254,1165,388.58012699453394,89.6723369987386
262,1088,111.90405869601467,1077.0765649491411
264,991,24.218213733053098,1174.5833660530752
264,905,0.0,1251.0930506805034
258,834,101.1358024691358,1196.7736625514403
256,780,33.54423455269598,905.6943329227914
252,740,48.26809059105137,482.68090591051373
261,714,118.04669489458311,341.0237852510179
265,708,44.71670544712132,67.07505817068197
266,719,10.457185739965544,115.02904313962098
273,740,71.47774729220784,214.43324187662353
279,774,82.11405861508644,465.31299881882313
281,811,16.6336674499073,307.72284782328506
288,790,113.50769730381734,340.523091911452
284,713,63.31980676328502,1218.9062801932366
283,644,12.067647583480548,832.6676832601578
279,588,40.41991649661626,565.8788309526276
271,549,80.59014456274514,392.8769547433825
273,520,25.00225922018157,362.5327586926328
272,507,11.721499035855015,152.3794874661152
271,512,10.788096401656421,53.9404820082821
270,531,9.592747182877936,182.2621964746808
276,559,69.9052608479468,326.2245506237517
278,597,29.485441124780316,560.223381370826
275,639,35.38929623098406,495.4501472337769
274,574,11.267771512388546,732.4051483052555
271,514,35.037206582574555,700.7441316514911
266,466,59.394262086153674,570.1849160270752
266,429,0.0,388.95620681271913
265,406,11.79397746540656,271.26148170435084
269,395,50.644835663744594,139.27329807529765
269,400,0.0,54.71378442192045
271,418,22.436872118028436,201.93184906225594
272,448,16.922205456350007,507.6661636905002
275,484,46.59250619299941,559.110074315993
279,498,55.00997098217945,192.53489843762807
276,443,41.368432472950715,758.4212620040964
275,399,12.1269975279372,533.5878912292368
274,364,14.102482717809398,493.58689512332893
276,341,28.17957296999503,324.0650891549428
278,331,24.392366452168197,121.96183226084099
277,336,16.666947475502077,83.3347373775104
281,350,55.0453461246961,192.65871143643636
281,376,0.0,389.67427301378575
282,410,11.218286032186711,381.4217250943482
285,392,26.21489152921617,157.28934917529705
283,349,24.055839455829133,517.2005483003263
282,313,11.909106654589955,428.72783956523836
281,289,16.663967675676105,399.9352242162265
282,276,16.914357611514156,219.88664894968403
283,275,14.962450324983411,14.962450324983411
284,284,14.392544145603283,129.53289731042955
283,306,15.196918807088483,334.3322137559466
285,336,22.905612669806814,343.5841900471022
287,329,21.397435962840337,74.89102586994117
285,288,28.9601878063937,593.683850031071
284,257,14.568968331984452,451.63801829151805
282,238,29.613575788384892,281.32896998965646
285,228,41.00578445334472,136.68594817781573
286,230,11.814341808021002,23.628683616042004
281,239,44.25473008048417,79.6585141448715
284,267,37.50428308286588,350.03997544008155
287,293,41.77552016414179,362.0545080892289
287,256,0.0,541.9300191364837
287,225,0.0,377.28630291212556
285,205,20.443365648471733,204.43365648471732
286,193,11.907314774333846,142.88777729200615
285,193,11.110974537208735,0.0
288,202,32.608101419342134,97.8243042580264
288,221,0.0,251.61109602621823
289,248,11.521072365439288,311.0689538668608
288,218,10.30944275527786,309.2832826583358
288,190,0.0,401.13574478259386
287,172,16.52934198755463,297.52815577598335
287,163,0.0,133.35524554083986
287,165,0.0,29.4132777929719
288,175,14.859823282245321,148.5982328224532
288,196,0.0,297.4754013097236
290,201,24.912710857685912,62.28177714421478
288,172,28.13920989161755,408.0185434284545
287,152,13.699444092420451,273.98888184840905
286,141,15.261782085989578,167.87960294588535
287,138,13.713732683335131,41.14119805000539
288,145,16.17224467133471,113.20571269934298
288,161,0.0,215.3541128486206
289,175,13.430497251014259,188.02696151419963
287,149,30.04838628792492,390.62902174302394
288,130,14.086426760255915,267.6421084448624
287,122,13.843135701743963,110.7450856139517
288,120,11.147237046329174,22.294474092658348
288,129,0.0,117.21826616734671
290,144,33.30332493002759,249.77493697520694
289,139,16.763603953589683,83.81801976794843
289,117,0.0,300.792406086605
289,104,0.0,167.9426864200573
288,100,13.606207666156282,54.42483066462513
288,105,0.0,64.10525093078847
288,117,0.0,153.166228454572
289,123,11.631007115641655,69.78604269384994
289,102,0.0,201.71388265469702
289,89,0.0,158.60803192758118
288,85,11.982116687187721,47.928466748750886
288,88,0.0,32.603032053956156
288,99,0.0,105.17407836307434
289,103,11.109738460641955,44.43895384256782
289,85,0.0,194.18173961800215
288,73,10.626696563169029,127.52035875802835
286,69,23.000762249458475,46.00152449891695
288,75,25.880541020831277,77.64162306249384
290,90,25.640846318904014,192.30634739178012
289,84,11.817004659968783,70.9020279598127
289,67,0.0,185.3397519208975
288,61,15.20617484020897,91.23704904125383
289,62,14.702875511355868,14.702875511355868
290,70,15.630150514073197,125.04120411258558
287,68,42.206974279159006,28.137982852772673
283,73,55.57817184389152,69.4727148048644
282,84,12.381051338969442,136.19156472866388
279,75,31.01492956704995,93.04478870114986
276,71,43.9040893230984,58.53878576413119
273,70,47.80323907865194,15.934413026217314
273,75,0.0,77.58207122087646
270,86,42.34902599588051,155.2797619848952
269,99,16.698000684751538,217.07400890177001
266,97,49.41024573748734,32.94016382499156
265,99,13.633096705411239,27.266193410822478
263,109,28.719651061673616,143.5982553083681
258,116,75.19773383294189,105.27682736611865
